AA,UPDATE 4-Alcoa to split into two as aluminum glut batters legacy business CHICAGO, Sept 28 Alcoa Inc said Monday it will break itself in two, separating a faster growing plane and car parts business from traditional aluminum smelting operations as shareholders seek higher returns amid a commodity slump. ~CORRECTED-Alcoa to split into two companies in second half of 2016   ~CORRECTED-Alcoa to split into two companies in second half of 2016 CHICAGO, Sept 28 Metals firm Alcoa Inc  said on Monday it would split into two publicly traded entities, acknowledging that its legacy aluminum operations and higher-value and automotive businesses were diverging and no longer compatible. ~
AGN,UPDATE 1-Allergan forecasts 2nd-half revenue above $8 bln Sept 28 Drugmaker Allergan Plc said it expected revenue to be greater than $8 billion in the second half as it completes the sale of its generics business to Teva Pharmaceuticals Industries Ltd . ~Allergan forecasts 2nd-half revenue above $8 bln Sept 28 Drugmaker Allergan Plc said it expected revenue to be greater than $8 billion in the second half to reflect the divesture of its global generics business to Teva Pharmaceuticals Industries Ltd . ~
GOOGL.O,PRESS DIGEST- New York Times business news - Sept 28 Sept 28 The following are the top stories on the New York Times business pages. Reuters has not verified these stories and does not vouch for their accuracy. ~
GOOG.O,PRESS DIGEST- New York Times business news - Sept 28 Sept 28 The following are the top stories on the New York Times business pages. Reuters has not verified these stories and does not vouch for their accuracy. ~
AAPL.O,Apple reports record sales of iPhone 6s, 6s Plus in first weekend Apple said on Monday it had sold more than 13 million iPhone 6s and 6s Pluses during their first weekend of availability in 12 markets, setting a record for its marquee product. ~UPDATE 3-Apple reports record sales of iPhone 6s, 6s Plus in first weekend Sept 28 Apple said on Monday it had sold more than 13 million iPhone 6s and 6s Pluses during their first weekend of availability in 12 markets, setting a record for its marquee product. ~REFILE-UPDATE 1-Apple reports record sales of iPhone 6s, 6s Plus in first weekend Sept 28 Apple said on Monday it sold more than 13 million iPhone 6s and 6s Plus during the first weekend on the market, a new record for its marquee product. ~REFILE-Apple reports record sales of iPhone 6s, 6s Plus in first weekend Sept 28 Apple said on Monday it sold more than 13 million iPhone 6s and 6s Plus in the first weekend on the market, a new record for its marquee product. ~Hon Hai considering buying $1.7 billion stake in Sharp LCD unit: paper TOKYO Taiwan's Hon Hai Precision Industry Co is considering buying a majority stake in Sharp Corp's loss-making LCD business for up to 200 billion yen ($1.7 billion), Japan's Mainichi newspaper said on Monday, without citing any sources. ~Hon Hai considering buying $1.7 bln stake in Sharp LCD unit-paper TOKYO, Sept 28 Taiwan's Hon Hai Precision Industry Co is considering buying a majority stake in Sharp Corp's loss-making LCD business for up to 200 billion yen ($1.7 billion), Japan's Mainichi newspaper said on Monday, without citing any sources. ~
ADSK.O,UPDATE 1-Autodesk's move to cloud could send up stock: Barron's NEW YORK, Sept 27 Design-software company Autodesk Inc's shares could jump 50 percent in the next 18 months as investors get more comfortable with the company's transition to a cloud-based business model, according to a Sunday report in Barron's financial newspaper. ~Autodesk's move to cloud could send up stock: Barron's NEW YORK, Sept 27 Design-software company Autodesk Inc's shares could jump 50 percent in the next 18 months as investors get more comfortable with the company's transition to a cloud-based business model, according to a Sunday report in Barron's financial newspaper. ~
CMG,Chipotle says U.S. pork supply problem coming to an end Sept 28 Chipotle Mexican Grill Inc is closing the book on its carnitas crisis of 2015. ~
CMCSA.O,CORRECTED-UPDATE 3-Comcast buys majority stake in Universal Studios Japan for $1.5 bln OSAKA, Sept 28 Comcast Corp said it will buy a majority stake in Universal Studios Japan for $1.5 billion, its biggest investment outside the United States and part of an aggressive expansion of its theme park business globally. ~Comcast buys majority stake in Universal Studios Japan for $1.5 billion OSAKA U.S. cable company Comcast Corp said on Monday it has agreed to acquire a majority stake in Osaka-based Universal Studios Japan for $1.5 billion, part of an acceleration of its  global theme park strategy. ~Comcast says to buy 51 pct of Universal Studios Japan for $1.5 bln OSAKA, Sept 28 U.S. cable company Comcast Corp  said on Monday it has agreed to buy a 51 percent stake in Osaka-based theme park operator USJ Co for $1.5 billion. ~
FITB.O,Fifth Third settles U.S. auto loan bias, credit card charges Fifth Third Bancorp will pay $21.5 million to settle U.S. charges that it discriminated against black and Hispanic borrowers on auto loans, and deceived credit card customers into paying excess fees, authorities announced on Monday. ~UPDATE 1-Fifth Third settles U.S. auto loan bias, credit card charges Sept 28 Fifth Third Bancorp will pay $21.5 million to settle U.S. charges that it discriminated against black and Hispanic borrowers on auto loans, and deceived credit card customers into paying excess fees, authorities announced on Monday. ~Fifth Third settles US charges over auto loans, credit cards Sept 28 Fifth Third Bancorp has reached settlements totaling $21.5 million to resolve U.S. charges that it discriminated against black and Hispanic borrowers in an auto lending business, and engaged in deceptive credit card practices, authorities announced on Monday. ~
F,Fiat Chrysler U.S. union workers deal more blows to tentative pact DETROIT, Sept 28 United Auto Workers union members at Fiat Chrysler Automobiles NV's   U.S. factories are increasingly rejecting a proposed national labor agreement recommended by union leaders, expressing discontent with a compromise that sacrificed larger wage hikes for future investment in U.S. operations. ~
GE,UPDATE 3-GE to move engine plant to Canada as U.S. export financing nixed WASHINGTON, Sept 28 General Electric Co  said on Monday it will move production of large, gas-powered engines to Canada from Wisconsin, along with 350 jobs, to access export financing no longer available in the United States. ~Alcoa to split into two as aluminum glut batters legacy business CHICAGO Alcoa Inc  said Monday it will break itself in two, separating a faster growing plane and car parts business from traditional aluminum smelting operations as shareholders seek higher returns amid a commodity slump. | Video  ~UPDATE 4-Alcoa to split into two as aluminum glut batters legacy business CHICAGO, Sept 28 Alcoa Inc said Monday it will break itself in two, separating a faster growing plane and car parts business from traditional aluminum smelting operations as shareholders seek higher returns amid a commodity slump. ~GE to move engine plant to Canada as U.S. trade bank languishes WASHINGTON, Sept 28 General Electric Co  said on Monday it will move production of large, gas-powered engines to Canada from Waukesha, Wisconsin, along with 350 jobs, because the company cannot access financing from the U.S. Export-Import bank. ~Poland's PZU says General Electric may sell Bank BPH this year WARSAW, Sept 28 General Electric might sell its Polish business Bank BPH as early as this year, Andrzej Klesyk, head of insurer PZU said on Monday. ~
GM,Fiat Chrysler U.S. union workers deal more blows to tentative pact DETROIT United Auto Workers union members at Fiat Chrysler Automobiles NV's   U.S. factories are increasingly rejecting a proposed national labor agreement recommended by union leaders, expressing discontent with a compromise that sacrificed larger wage hikes for future investment in U.S. operations. ~Fiat Chrysler U.S. union workers deal more blows to tentative pact DETROIT, Sept 28 United Auto Workers union members at Fiat Chrysler Automobiles NV's   U.S. factories are increasingly rejecting a proposed national labor agreement recommended by union leaders, expressing discontent with a compromise that sacrificed larger wage hikes for future investment in U.S. operations. ~
GILD.O,U.S. settles insider trading charges tied to Gilead acquisition WASHINGTON, Sept 28 Five Florida residents including two attorneys and an accountant will collectively pay about $489,000 to settle civil charges over insider-trading ahead of Gilead Science's acquisition of Pharmasset, U.S. regulators said Monday. ~
GS,UK private equity firm Lion Capital eyes takeover of Kurt Geiger: Sky News British private equity firm Lion Capital, former owner of high-end footwear designer Jimmy Choo, is considering returning to the upscale footwear market with a takeover of luxury shoe retailer Kurt Geiger, Sky News reported citing people familiar with the matter. ~
HAL,UPDATE 1-Halliburton, Baker Hughes plan more divestitures for deal approval Sept 28 Oil services provider Halliburton Co  and Baker Hughes Inc will sell additional businesses in connection with Halliburton's pending acquisition of its smaller rival, the companies said in a joint statement. ~
LLL,U.S. government contractor L-3 to pay $4.63 mln to settle charges it overbilled WASHINGTON U.S. government contractor L-3 Communications Holdings Inc has agreed to pay $4.63 million to resolve allegations that it overbilled the government for time spent by independent contractors at two U.S. bases before overseas deployments, the U.S. Justice Department said Monday. ~U.S. government contractor L-3 to pay $4.63 mln to settle charges it overbilled WASHINGTON, Sept 28 U.S. government contractor L-3 Communications Holdings Inc has agreed to pay $4.63 million to resolve allegations that it overbilled the government for time spent by independent contractors at two U.S. bases before overseas deployments, the U.S. Justice Department said Monday. ~
MA,U.S. court hears challenge to $5.7 bln Visa, MasterCard settlement NEW YORK A U.S. appeals court on Monday weighed whether to uphold the approval of an estimated $5.7 billion antitrust settlement by  MasterCard Inc and Visa Inc  with merchants over credit card fees despite the objection of several major retailers. ~U.S. court hears challenge to $5.7 bln Visa, MasterCard settlement NEW YORK, Sept 28 A U.S. appeals court on Monday weighed whether to uphold the approval of an estimated $5.7 billion antitrust settlement by  MasterCard Inc and Visa Inc with merchants over credit card fees despite the objection of several major retailers. ~
MCD,Burger King France in talks to buy Quick LONDON, Sept 28 Burger King France's majority shareholder Groupe Bertrand has started exclusive negotiations to buy French chain Quick, a deal that would make it the second biggest fast food restaurant in France, behind market leader McDonald's. ~
MRK,Merck's once-weekly diabetes drug approved in Japan Sept 28 Merck & CO said its Type 2 diabetes drug had been approved in Japan, marking the first approval for the once-weekly drug. ~BRIEF-Merck KGaA says closing of Sigma-Aldrich takeover expected soon * Says is progressing toward completion of Sigma - Aldrich acquisition ~
MSFT.O,UPDATE 1-Microsoft reorganizes its financial results reporting Sept 28 Microsoft Corp said it was changing the way it reported financial results to reflect its emphasis on cloud and mobile businesses. ~Microsoft reorganizes its financial results reporting Sept 28 Microsoft Corp said it would report revenue and operating income based on three segments, reorganizing the way it reports financial results. ~
UNP,After calamitous year for coal, U.S. consumers hold key for rails CHICAGO/NEW YORK Investors in U.S. railroad stocks, who have been punished in 2015 by an accelerating decline in high-margin coal shipments, now are pinning their long-term hopes on a resurgence in consumer spending. ~After calamitous year for coal, U.S. consumers hold key for rails CHICAGO/NEW YORK, Sept 28 Investors in U.S. railroad stocks, who have been punished in 2015 by an accelerating decline in high-margin coal shipments, now are pinning their long-term hopes on a resurgence in consumer spending. ~
V,U.S. court hears challenge to $5.7 bln Visa, MasterCard settlement NEW YORK A U.S. appeals court on Monday weighed whether to uphold the approval of an estimated $5.7 billion antitrust settlement by  MasterCard Inc and Visa Inc  with merchants over credit card fees despite the objection of several major retailers. ~U.S. court hears challenge to $5.7 bln Visa, MasterCard settlement NEW YORK, Sept 28 A U.S. appeals court on Monday weighed whether to uphold the approval of an estimated $5.7 billion antitrust settlement by  MasterCard Inc and Visa Inc with merchants over credit card fees despite the objection of several major retailers. ~
