BRKa.N,CEO of Berkshire's Gen Re to retire; Jain's role grows April 12 General Re, one of Berkshire Hathaway Inc's largest insurance units, said Chief Executive Officer Tad Montross is retiring, in a move that will expand the role of Ajit Jain, long viewed as a potential successor to Warren Buffett at Berkshire's helm. ~BRIEF-GEN RE CEO to retire by year-end; successor to report to Berkshire's Jain- CNBC citing DJ * GEN RE CEO to retire by year-end & successor to report to Berkshire's Jain, not Buffett as he does now - CNBC citing DJ  Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780) ~Business Wire back up after outage Business Wire, the press release distribution company owned by Warren Buffett's Berkshire Hathaway Inc, resumed services after it suffered a four-hour outage on Monday, delaying the release of many company statements including Alcoa Inc's earnings report. ~
C,BRIEF-Citigroup does not intend to exit consumer businesses in Venezuela - SEC Filing * Says it does not intend to exit consumer businesses in Venezuela - SEC Filing  Source text for Eikon: (http://1.usa.gov/1qFEPVz) Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780) ~
CSX.O,BRIEF-CSX posts Q1 earnings per share $0.37 * Continued low commodity prices, strong U.S. Dollar and energy market transition will challenge q2 and full-year 2016 performance ~UPDATE 1-CSX profit dragged down by coal, to stay weak through 2016 CHICAGO, April 12 No. 3 U.S. railroad CSX Corp  said on Tuesday that lower freight, in particular a 31 percent drop in coal volumes, had hurt its first-quarter profit and still expected coal to weigh on earnings throughout 2016. ~BRIEF-CSX qtrly revenue $2.62 bln vs $3.03 bln * Q1 earnings per share view $0.37, revenue view $2.68 billion -- Thomson Reuters I/B/E/S  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780) ~CSX first-quarter net profit down as freight volumes fall CHICAGO, April 12 No. 3 U.S. railroad CSX Corp  on Tuesday reported a lower quarterly net profit, in line with analysts' expectations, citing declines in most freight segments, especially coal. ~CP Rail mulls buyback, dividend after dropping Norfolk bid: CEO CHICAGO/MONTREAL Canadian Pacific Railway Ltd  Chief Executive Hunter Harrison on Monday said the company would consider using cash once planned to acquire rival Norfolk Southern Corp  for a potential buyback, dividend, or combination of both. | Video  ~
DOW,BRIEF-Downer EDI says offer for Spotless Group now closed * Confirms that its offer for Spotless was not extended and has now closed. Source text for Eikon: Further company coverage: ~BRIEF-Downer EDI posts FY net profit of $181.5 million * FY total revenue and other income from ordinary activities $7.29 billion , up 6.4 percent ~BRIEF-Downer EDI says ‍offer for Spotless Group extended to 28 August 2017​ * ‍Offer for Spotless Group extended to 7pm on Monday, 28 august 2017​ Source text for Eikon: Further company coverage: ~BRIEF-Downer EDI says Spotless ‍offer extended to Aug 21, 2017​ * Spotless ‍offer extended to 7pm on monday, 21 august 2017​ Source text for Eikon: Further company coverage: ~BRIEF-Downer EDI's takeover offer for Spotless Group extended till 7pm (Sydney time) on Aug. 14 * Unconditional takeover offer for Spotless Group extended until 7:00pm (Sydney time) on Monday, 14 August Source text for Eikon: Further company coverage: (bangalore.newsroom@thomsonreuters.com) ~BRIEF-Downer extends takeover offer for Spotless Group * decided to extend Spotless offer period for one week; offer will now remain open for acceptance until 14 august Source text for Eikon: Further company coverage: ~BRIEF-Downer extends Spotless offer to August 7 2017 * ‍Downer has decided to extend offer for Spotless Group holdings to 7 pm on Monday, 7 august 2017​ Source text for Eikon: Further company coverage: ~BRIEF-Downer EDI's stake in Spotless increases to 80.3 pct * Downer's stake in Spotless increases to 80.3 pct Source text for Eikon: Further company coverage: ~BRIEF- Downer EDI Ltd'S stake in Spotless Group increases to 72% * As Downer's shareholding in Spotless is now over 70%, Downer expects that Spotless will be removed from certain S&P;/ASX market indices ~
EA.O,Electronic Arts attracts more investors even as stock fizzles SAN FRANCISCO, April 12 Fresh off a two-year stock rally and a win with its "Star Wars: Battlefront" title, Electronic Arts Inc is attracting sizeable buy-in from institutional investors who expect the company to keep doing well with shooter videogames. ~
FB.O,UPDATE 3-Facebook's next frontier: chatbots SAN FRANCISCO, April 12 Facebook Inc said on Tuesday it has opened up its Messenger app to developers to create "chatbots," hoping that by simulating one-on-one conversations between users and companies it will expand its reach in customer service and enterprise transactions. ~Billionaire Yuri Milner bids another $100 million to explore the cosmos SAN FRANCISCO Billionaire Internet investor Yuri Milner announced another $100 million initiative on Tuesday to better understand the cosmos, this time by deploying thousands of tiny spacecraft to travel to our nearest neighboring star system and send back pictures. | Video  ~Billionaire Yuri Milner bids another $100 mln to explore the cosmos SAN FRANCISCO, April 12 Billionaire Internet investor Yuri Milner announced another $100 million initiative on Tuesday to better understand the cosmos, this time by deploying thousands of tiny spacecraft to travel to our nearest neighboring star system and send back pictures. ~
F,UPDATE 1-Ford plans to move Michigan offices into two new modern campuses DETROIT, April 12 Ford Motor Co said on Tuesday it will modernize and  consolidate its sprawling Dearborn, Michigan, engineering and headquarters facilities over the next decade into two Silicon Valley-style campuses. ~Ford plans to move Michigan offices into two new modern facilities DETROIT, April 12 Ford Motor Co said on Tuesday it will modernize and  consolidate its sprawling Dearborn, Michigan, engineering and headquarters facilities over the next decade into two Silicon Valley-style locations. ~
GM,Plaintiffs eye path ahead in GM ignition-switch cases NEW YORK Lawyers for plaintiffs suing General Motors Co over injuries and deaths blamed on faulty ignitions switches said they are prepared to forge ahead with further trials this year despite promising recent developments for the automaker. ~Plaintiffs eye path ahead in GM ignition-switch cases NEW YORK, April 12 Lawyers for plaintiffs suing General Motors Co over injuries and deaths blamed on faulty ignitions switches said they are prepared to forge ahead with further trials this year despite promising recent developments for the automaker. ~PRESS DIGEST - Wall Street Journal - April 12 April 12 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy. ~
GS,Goldman Sachs to pay $5 bln in U.S. Justice Dept mortgage bond pact Goldman Sachs Group Inc has agreed to pay $5.06 billion to settle claims that it misled mortgage bond investors during the financial crisis, the U.S. Department of Justice said on Monday. ~CORRECTED-UPDATE 2-Goldman Sachs to pay $5 bln in U.S. Justice Dept mortgage bond pact April 11 Goldman Sachs Group Inc has agreed to pay $5.06 billion to settle claims that it misled mortgage bond investors during the financial crisis, the U.S. Department of Justice said on Monday. ~
HAL,U.S. lawsuit against activist ValueAct puts mutual funds on alert NEW YORK/BOSTON The U.S. government's lawsuit against ValueAct Capital targets one activist investor but could call into question routine practices across the $16 trillion mutual fund industry, according to attorneys and industry representatives. ~REFILE-U.S. lawsuit against activist ValueAct puts mutual funds on alert NEW YORK/BOSTON, April 12 The U.S. government's lawsuit against ValueAct Capital targets one activist investor but could call into question routine practices across the $16 trillion mutual fund industry, according to attorneys and industry representatives. ~EU regulators resume scrutiny of Halliburton, Baker Hughes deal EU competition regulators have resumed their scrutiny of U.S. oil industry services group Halliburton Co's  plan to acquire smaller rival Baker Hughes, a deal which U.S. authorities say is uncompetitive and wants to block. ~EU regulators resume scrutiny of Halliburton, Baker Hughes deal April 12 - EU competition regulators have resumed their scrutiny of U.S. oil industry services group Halliburton Co's  plan to acquire smaller rival Baker Hughes, a deal which U.S. authorities say is uncompetitive and wants to block. ~
LM,BRIEF-Shanda Group makes long term strategic investment in Legg Mason * Shanda Group makes long term strategic investment in Legg Mason ~
LMT,U.S. regulators vow to preserve competition among defense contractors WASHINGTON The two U.S. agencies that enforce antitrust law said on Tuesday they were committed to preserving competition among weapons makers and noted that some sectors already had too few competitors. ~U.S. regulators vow to preserve competition among defense contractors WASHINGTON, April 12 The two U.S. agencies that enforce antitrust law said on Tuesday they were committed to preserving competition among weapons makers and noted that some sectors already had too few competitors. ~
TAP,UPDATE 1-AB Inbev offers concessions in bid to win EU okay for SABMiller buy BRUSSELS/LONDON, April 12 - Anheuser-Busch InBev  has formally informed European Union antitrust regulators of its plan to sell SABMiller's premium European brands to try to secure approval for its $100 billion-plus takeover of the London-based brewer. ~AB Inbev offers concessions in bid to win EU okay for SABMiller buy BRUSSELS, April 12 - Anheuser-Busch InBev has submitted concessions to European Union antitrust regulators to try to secure approval for its $100 billion-plus takeover of SABMiller, the largest ever deal in the consumer goods industry. ~
MS,BRIEF-Morgan Stanley reports 17.1 pct passive stake in Innocoll Holdings * Morgan Stanley reports 17.1 percent passive stake in Innocoll Holdings Plc as of March 31 - SEC filing    Source text for Eikon:    Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780) ~
