ABBV.N,UPDATE 1-Momenta's Humira biosimilar succeeds in key psoriasis study Nov 29 U.S. biotech Momenta Pharmaceuticals Inc  said on Tuesday its experimental biosimilar version of AbbVie Inc's top-selling autoimmune drug, Humira, met the main goal in a late-stage trial involving patients with a form of psoriasis. ~
AET,Actelion shares plunge on report it eyes "complicated" J&J; deal ZURICH, Nov 29 Shares in Swiss biotech company Actelion plunged on Tuesday after a report the company was not actively considering selling itself, but instead weighing a "complicated deal" to link with U.S. healthcare giant Johnson & Johnson. ~
AAPL.O,UPDATE 3-Australian regulator set to oppose collective bank bargaining on Apple Pay * Setback for banks looking to roll out their own digital wallets ~Taiwan stocks rise to near 3-week high; techs up TAIPEI, Nov 29 Taiwan stocks rose for a third straight session on Tuesday and hit an almost three-week high, helped by technology heavyweights such as Taiwan Semiconductor Manufacturing Co (TSMC) and Hon Hai Precision Industry . ~CORRECTED-UPDATE 1-Australian regulator opposes collective bank bargaining on Apple Pay SYDNEY, Nov 29 Three of Australia's four biggest banks will be barred from collectively bargaining with Apple Inc  in relation to its mobile digital payments system, under a draft decision released by the antitrust regulator on Tuesday. ~
T,AT&T; unveils DirecTV Now streaming service ahead of November 30 launch NEW YORK AT&T; Inc, the largest U.S. TV provider, unveiled on Monday the pricing and launch date for DirecTV Now, which will stream television programming through the internet to win customers who shun traditional cable and satellite TV subscriptions. ~UPDATE 2-AT&T; unveils DirecTV Now streaming service ahead of Nov. 30 launch NEW YORK, Nov 28 AT&T; Inc, the largest U.S. TV provider, unveiled on Monday the pricing and launch date for DirecTV Now, which will stream television programming through the internet to win customers who shun traditional cable and satellite TV subscriptions. ~
CCL,U.S. companies hope Trump will stick to business roots, back Cuba ties WASHINGTON U.S. companies are looking for ways to persuade President-elect Donald Trump to soften his threats to cancel the Obama administration's opening to Cuba, a reversal they fear could cost them hundreds of millions of dollars. ~
C,Kenya sends request for proposals for bond and loan LONDON, Nov 29 (IFR) - Kenya has sent a request for proposals for a bond and loan, according to sources. ~Citigroup 'boys' club' disfavors women, lawsuit claims NEW YORK A former Citigroup Inc financial adviser on Monday filed a lawsuit accusing the bank of running a "boys' club" that favored men over women, treating her as a "glorified secretary," and firing her in retaliation for whistleblowing activity. ~Citigroup 'boys' club' disfavors women, lawsuit claims NEW YORK A former Citigroup Inc financial adviser on Monday filed a lawsuit accusing the bank of running a "boys' club" that favored men over women, treating her as a "glorified secretary," and firing her in retaliation for whistleblowing activity. ~
DLPH.N,Delphi, Mobileye to use Intel chip for self-driving car system Nov 29 Auto parts maker Delphi Automotive Plc  and Israeli technology firm Mobileye NV will put an Intel Corp chip at the heart of their joint effort to produce self-driving vehicles by 2019, the companies said on Tuesday. ~
FB.O,Facebook users can now play Pac-Man on Messenger app Nov 29 For users hooked on to Facebook's Messenger app, it's game on. ~
F,Brazil's Ford to pay $64 mln to settle Rio Grande do Sul claim SAO PAULO, Nov 29 The local unit of Ford Motor Co will pay almost 217 million reais ($63.8 million) to Brazil's state of Rio Grande do Sul after the parties reached a settlement regarding a law suit, newspaper Folha de S. Paulo reported on Tuesday. ~
INTC.O,Delphi, Mobileye to use Intel chip for self-driving car system Nov 29 Auto parts maker Delphi Automotive Plc  and Israeli technology firm Mobileye NV will put an Intel Corp chip at the heart of their joint effort to produce self-driving vehicles by 2019, the companies said on Tuesday. ~
JNJ,J&J; raises Actelion takeover pressure with higher price: source LONDON U.S. healthcare company Johnson & Johnson has raised its offer for Actelion, a source told Reuters on Tuesday, stepping up pressure on the Swiss biotech firm to accept a takeover deal. ~Actelion shares plunge on report it eyes 'complicated' J&J; deal ZURICH Shares in Swiss biotech company Actelion  plunged on Tuesday after a report the company was not actively considering selling itself, but instead weighing a "complicated deal" to link with U.S. healthcare giant Johnson & Johnson . ~Actelion shares plunge on report it eyes "complicated" J&J; deal ZURICH, Nov 29 Shares in Swiss biotech company Actelion plunged on Tuesday after a report the company was not actively considering selling itself, but instead weighing a "complicated deal" to link with U.S. healthcare giant Johnson & Johnson. ~PRESS DIGEST- Financial Times - Nov 29 Nov 29 The following are the top stories in the Financial Times. Reuters has not verified these stories and does not vouch for their accuracy. ~
KMI,BRIEF-Canada PM says under no illusions that Kinder Morgan decision will be bitterly disputed by some people * Canada PM says we know we need to increase pipeline capacity to keep crude shipments off railways ~
MKC,BRIEF-McCormick announces acquisition of Enrico Giotti SpA * McCormick plans to acquire business for a cash payment of approximately 120 million Euros ~
MDT,BRIEF-Medtronic first to receive european approval for less-invasive HVAD implant procedure * Medtronic first to receive european approval for less-invasive HVAD implant procedure  Source text for Eikon:  Further company coverage: ~
PFE,German Merck, Pfizer get FDA priority review for cancer drug FRANKFURT German drugmaker Merck KGaA and U.S. partner Pfizer have been granted priority review status in the United States as they seek approval to fight a rare and aggressive form of skin cancer with immunotherapy drug avelumab. ~German Merck, Pfizer get FDA priority review for cancer drug FRANKFURT, Nov 29 German drugmaker Merck KGaA  and U.S. partner Pfizer have been granted priority review status in the United States as they seek approval to fight a rare and aggressive form of skin cancer with immunotherapy drug avelumab. ~
PX,BRIEF-Linde receives revised merger proposal from Praxair * Says received revised proposal concerning a potential merger of equals with Praxair Inc ~
TIF,UPDATE 3-Jeweler Tiffany posts first sales rise in eight quarters * Says Trump protests may affect current quarter   (Adds details from conference call; updates shares) ~Jeweler Tiffany posts first increase in sales in 8 quarters Nov 29 Tiffany & Co reported its first rise in sales in eight quarters as strong sales in China and Japan more than offset a decline in the United States. ~BRIEF-Tiffany reports Q3 EPS $0.76 * Tiffany sees modest improvement in third quarter results: management maintains its full year earnings outlook ~
TWX,BRIEF-Time warner announces proposed debt offering * Has commenced an underwritten public offering of senior notes due 2027 of benchmark size  Source text for Eikon:  Further company coverage: ~
UNH,US STOCKS-Health stocks boost Wall Street; energy a drag * Indexes up: Dow 0.1 pct, S&P; 500 0.1 pct, Nasdaq 0.2 pct   (Updates to close) ~BRIEF-Unitedhealth CEO says will adjust, evolve to healthcare landscape: Investor day * Unitedhealth CEO says we will adjust and evolve with the underlying healthcare landscape, we have an attitude of "whatever comes":  investor day ~Upbeat profit forecast boosts UnitedHealth shares to record high Shares of UnitedHealth Group Inc , the largest U.S. health insurer, rose as much as 3.95 percent to a record high of $158.12 on Tuesday after the company issued a better-than-expected earnings forecast for the coming year. ~Upbeat profit forecast boosts UnitedHealth shares to record high Nov 29 Shares of UnitedHealth Group Inc, the largest U.S. health insurer, rose as much as 3.95 percent to a record high of $158.12 on Tuesday after the company issued a better-than-expected earnings forecast for the coming year. ~
WFC,State treasurers renew call for independent chair at Wells Fargo Investors, including the state treasurers of Connecticut and Illinois, called on Wells Fargo & Co to require an independent board chair, saying the bank needs stronger oversight in the wake of a scandal over fake customer accounts. ~UPDATE 2-State treasurers renew call for independent chair at Wells Fargo Nov 29 Investors, including the state treasurers of Connecticut and Illinois, called on Wells Fargo & Co  to require an independent board chair, saying the bank needs stronger oversight in the wake of a scandal over fake customer accounts. ~BRIEF-Connecticut treasurer wants Wells Fargo to have independent, non-exec board chair Nov 29 Connecticut Treasurer Calls On Wells Fargo & Co ~Warren slams Wells Fargo over arbitration position NEW YORK Massachusetts Democratic Senator Elizabeth Warren on Monday criticized Wells Fargo & Co's  decision to require customers affected by its unauthorized accounts scandal to go through arbitration rather than allowing them to sue. ~UPDATE 1-U.S. lawmaker Warren slams Wells Fargo over arbitration position NEW YORK, Nov 28 Massachusetts Democratic Senator Elizabeth Warren on Monday criticized Wells Fargo & Co's  decision to require customers affected by its unauthorized accounts scandal to go through arbitration rather than allowing them to sue. ~
