MMM,MMM
ABT,ABT
ABBV,ABBV.N
ACN,ACN
ATVI,ATVI.O
AYI,AYI
ADBE,ADBE.O
AAP,AAP
AES,AES
AET,AET
AMG,AMG
AFL,AFL
A,A
APD,APD
AKAM,AKAM.O
ALK,ALK
ALB,ALB
AA,AA
ALXN,ALXN.O
ALLE,ALLE.N
AGN,AGN
ADS,ADS
LNT,LNT
ALL,ALL
GOOGL,GOOGL.O
GOOG,GOOG.O
MO,MO
AMZN,AMZN.O
AEE,AEE
AAL,AAL.O
AEP,AEP
AXP,AXP
AIG,AIG
AMT,AMT
AWK,AWK
AMP,AMP
ABC,ABC
AME,AME
AMGN,AMGN.O
APH,APH
APC,APC
ADI,ADI.O
ANTM,ANTM.N
AON,AON
APA,APA
AIV,AIV
AAPL,AAPL.O
AMAT,AMAT.O
ADM,ADM
AJG,AJG
AIZ,AIZ
T,T
ADSK,ADSK.O
ADP,ADP.O
AN,AN
AZO,AZO
AVGO,AVGO.O
AVB,AVB
AVY,AVY
BHI,BHI.PS
BLL,BLL
BAC,BAC
BCR,BCR
BAX,BAX
BBT,BBT
BDX,BDX
BBBY,BBBY.O
BRK-B,BRKa.N
BBY,BBY
BIIB,BIIB.O
BLK,BLK
HRB,HRB
BA,BA
BWA,BWA
BXP,BXP
BSX,BSX
BMY,BMY
BF-B,BFb.N
CHRW,CHRW.O
CA,CA.O
COG,COG
CPB,CPB
COF,COF
CAH,CAH
KMX,KMX
CCL,CCL
CAT,CAT
CBG,CBG
CBS,CBS
CELG,CELG.O
CNC,CNC
CNP,CNP
CTL,CTL
CERN,CERN.O
CF,CF
SCHW,SCHW.N
CHK,CHK
CVX,CVX
CMG,CMG
CB,CB
CHD,CHD
CI,CI
XEC,XEC
CINF,CINF.O
CTAS,CTAS.O
CSCO,CSCO.O
C,C
CFG,CFG
CTXS,CTXS.O
CME,CME.O
CMS,CMS
COH,COH
CTSH,CTSH.O
CL,CL
CMCSA,CMCSA.O
CMA,CMA
CAG,CAG
CXO,CXO
COP,COP
ED,ED
STZ,STZ
GLW,GLW
COST,COST.O
CCI,CCI
CSRA,CSRA.N
CSX,CSX.O
CMI,CMI
CVS,CVS
DHI,DHI
DHR,DHR
DRI,DRI
DVA,DVA
